News_ID,Category,Title
N55528,lifestyle,"The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By"
N19639,health,50 Worst Habits For Belly Fat
N61837,news,The Cost of Trump's Aid Freeze in the Trenches of Ukraine's War
N53526,health,I Was An NBA Wife. Here's How It Affected My Mental Health.
N38324,health,"How to Get Rid of Skin Tags, According to a Dermatologist"
N2073,sports,Should NFL be able to fine players for criticizing officiating?
N49186,weather,"It's been Orlando's hottest October ever so far, but cooler temperatures on the way"
N59295,news,Chile: Three die in supermarket fire amid protests
N24510,entertainment,Best PS5 games: top PlayStation 5 titles to look forward to
N39237,news,"How to report weather-related closings, delays"
N9721,health,"50 Foods You Should Never Eat, According to Health Experts"
N60905,autos,Trying to Make a Ram 3500 as Quick as a Viper Requires Some Disassembly
N39758,health,25 Biggest Grocery Store Mistakes Making You Gain Weight
N28361,health,Instagram Filters with Plastic Surgery-Inspired Effects Could Soon Disappear
N18680,health,"Michigan apple recall: Nearly 2,300 crates could be contaminated with listeria"
N55610,lifestyle,Kate Middleton's Best Hairstyles Through the Years
N35621,entertainment,Stars who got fired from major projects
N22850,travel,Newark Liberty Airport's Terminal One a $2.7 billion 'transformative' project
N58173,autos,Is This The 2021 GMC Yukon Denali?
N29120,sports,"John Dorsey admits talks with Washington, but it ""takes two to tango"""
N9786,news,Elijah Cummings to lie in state at US Capitol Thursday
N47705,travel,"17 Abandoned Theme Parks to Explore for Thrills, Chills, and Nostalgia"
N3574,autos,Ford Bronco Test Mule Spotted Flexing Its Muscles in Australia
N42474,news,Trump's Trustbusters Bring Microsoft Lessons to Big Tech Fight
N64498,sports,PGA Tour winners
N7517,lifestyle,10 Things You Never Knew About Owls
N63665,foodanddrink,25 Last-Minute Ideas That Will Absolutely Save Your Holiday Dinner
N59469,lifestyle,Every outfit Duchess Kate has worn in 2019
N57356,news,"New iPad Pro 2019 release date, price, news and leaks"
N15926,health,These Simple Diet Changes Helped This Guy Lose 75 Pounds in 9 Months
N43620,news,"Without help from US, UN climate fund struggles to meet goal"
N60603,entertainment,Best PS4 games 2019: play great PlayStation 4 games
N40078,tv,The 23 Best TV Reboots of All Time
N61409,news,Netflix hackers: Why they steal passwords
N46013,foodanddrink,20 Must-Try Gravy Recipes for Your Thanksgiving Feast
N50643,weather,"A little snow causes a big mess, more than 100 crashes on Minnesota roads"
N60723,news,Extinction Rebellion wins court challenge against London police
N63175,sports,"LA rivalry takes on new meaning for fans as Lakers, Clippers in hunt for NBA championship"
N22028,lifestyle,"Mom with schizophrenia, 6-year-old daughter missing in Queens"
N8795,lifestyle,5 Things You Probably Shouldn't Be Buying from Costco
N43647,news,POWER RANKING: Here's who has the best chance of becoming the 2020 Democratic presidential nominee
N41835,news,Today in History: November 2
N8071,lifestyle,"25 Photos of the Royal Family at Balmoral Castle, Queen Elizabeth's Favorite Home"
